%time,field.x,field.y,field.z
1566601829525795938,28.15625,28.8359375,30.3203125
1566601830343713488,28.078125,28.7578125,30.3515625
1566601831161733069,28.1640625,28.71875,30.4296875
1566601831980769481,28.1640625,28.8046875,30.4296875
1566601832797932053,28.1640625,28.6953125,30.3671875
1566601833615077887,28.1328125,28.7109375,30.4296875
1566601834432757455,28.1640625,28.8046875,30.4140625
1566601835250750204,28.1640625,28.78125,30.34375
1566601836068772398,28.15625,28.734375,30.3046875
1566601836886777842,28.046875,28.7578125,30.3515625
1566601837704801904,28.1328125,28.8125,30.453125
1566601838523629057,28.1640625,28.6796875,30.34375
1566601839340786710,28.25,28.8125,30.3671875
1566601840158990871,28.109375,28.765625,30.40625
1566601840976822086,28.1796875,28.9375,30.40625
1566601841794834165,28.203125,29.0078125,30.40625
1566601842612826159,28.25,29.0234375,30.40625
1566601843431054219,28.234375,29.078125,30.40625
1566601844249230229,28.25,29.359375,30.40625
1566601845067114226,28.2890625,29.875,30.40625
1566601845885091252,28.453125,30.6640625,40.3828125
1566601846702855247,28.5,31.3046875,40.5234375
1566601847521082347,28.65625,32.0078125,41.8671875
1566601848338878057,28.8046875,32.1328125,44.125
1566601849157164710,28.8671875,32.1875,47.2421875
1566601849975160429,28.921875,32.296875,49.8203125
1566601850793203848,28.9609375,33.1171875,51.234375
1566601851611121191,29.1015625,34.40625,51.3984375
1566601852429333313,29.28125,35.828125,51.3984375
1566601853247089678,29.5,36.703125,51.3984375
1566601854064933688,29.5859375,36.765625,51.3984375
1566601854882938537,29.5859375,36.8671875,51.3984375
1566601855701030026,29.5703125,37.65625,51.3984375
1566601856519385813,29.6953125,38.3359375,62.4140625
1566601857337234131,29.7265625,38.265625,62.359375
1566601858154979222,29.703125,38.28125,62.3125
1566601858974272591,29.765625,38.28125,62.2890625
1566601859791086662,29.7890625,38.21875,62.25
1566601860609310455,29.765625,38.234375,62.140625
1566601861427360815,29.7265625,38.1484375,62.046875
1566601862245275950,29.7265625,38.1875,62.046875
1566601863063150472,29.7890625,38.1640625,61.9453125
