%time,field0,field1,field2,field3,field4,field5
1566497791420874535,1.6e-05,9.5e-05,0.0,0.0,0.0,0.0
1566497791423002102,2e-05,9.7e-05,0.0,0.0,0.0,0.0
1566497791426706932,2.3e-05,9.6e-05,0.0,0.0,0.0,0.0
1566497791431026794,2.2e-05,9.9e-05,0.0,0.0,0.0,0.0
1566497791434831126,2.2e-05,9.4e-05,0.0,0.0,0.0,0.0
1566497791438836993,2.5e-05,9.7e-05,0.0,0.0,0.0,0.0
1566497791442882770,2.3e-05,9.4e-05,0.0,0.0,0.0,0.0
1566497791447013153,2.2e-05,9.7e-05,0.0,0.0,0.0,0.0
1566497791450992948,2.6e-05,9.7e-05,0.0,0.0,0.0,0.0
1566497791454751737,2e-05,9.5e-05,0.0,0.0,0.0,0.0
1566497791458951518,2.2e-05,9.7e-05,0.0,0.0,0.0,0.0
1566497791462799349,2.3e-05,9.4e-05,0.0,0.0,0.0,0.0
1566497791466948314,2e-05,9.4e-05,0.0,0.0,0.0,0.0
1566497791471461106,2.7e-05,9.4e-05,0.0,0.0,0.0,0.0
1566497791474887624,2.4e-05,9.8e-05,0.0,0.0,0.0,0.0
1566497791478974317,2.3e-05,9.8e-05,0.0,0.0,0.0,0.0
1566497791482953783,2.1e-05,9.7e-05,0.0,0.0,0.0,0.0
1566497791487013435,2.2e-05,9.9e-05,0.0,0.0,0.0,0.0
1566497791491064396,2.5e-05,9.8e-05,0.0,0.0,0.0,0.0
1566497791494912207,2.6e-05,9.6e-05,0.0,0.0,0.0,0.0
1566497791499150948,2.2e-05,9.5e-05,0.0,0.0,0.0,0.0
1566497791502964167,2.4e-05,9.8e-05,0.0,0.0,0.0,0.0
1566497791507112362,2.3e-05,9.1e-05,0.0,0.0,0.0,0.0
1566497791510897362,2.4e-05,9.5e-05,0.0,0.0,0.0,0.0
1566497791514992328,2.5e-05,9.7e-05,0.0,0.0,0.0,0.0
1566497791519350961,2.2e-05,9.6e-05,0.0,0.0,0.0,0.0
1566497791523072800,1.9e-05,9.7e-05,0.0,0.0,0.0,0.0
1566497791527010375,2.2e-05,9.5e-05,0.0,0.0,0.0,0.0
1566497791531192618,2e-05,9.5e-05,0.0,0.0,0.0,0.0
1566497791535339960,2.1e-05,9.7e-05,0.0,0.0,0.0,0.0
1566497791539150208,2e-05,9.8e-05,0.0,0.0,0.0,0.0
1566497791542918069,2.1e-05,9.9e-05,0.0,0.0,0.0,0.0
1566497791546784853,2.4e-05,9.7e-05,0.0,0.0,0.0,0.0
1566497791551024840,2.5e-05,9.5e-05,0.0,0.0,0.0,0.0
1566497791555404419,2.4e-05,9.5e-05,0.0,0.0,0.0,0.0
1566497791559149879,1.9e-05,9.7e-05,0.0,0.0,0.0,0.0
1566497791563163974,2.3e-05,9.7e-05,0.0,0.0,0.0,0.0
1566497791566882102,2.4e-05,9.8e-05,0.0,0.0,0.0,0.0
1566497791570978789,2.5e-05,9.7e-05,0.0,0.0,0.0,0.0
1566497791574948475,2.3e-05,9.3e-05,0.0,0.0,0.0,0.0
1566497791579236965,2.1e-05,9.6e-05,0.0,0.0,0.0,0.0
1566497791582917008,2e-05,0.000101,0.0,0.0,0.0,0.0
1566497791586874462,2e-05,9.8e-05,0.0,0.0,0.0,0.0
1566497791590996249,2.4e-05,9.6e-05,0.0,0.0,0.0,0.0
1566497791595157179,2.3e-05,9.4e-05,0.0,0.0,0.0,0.0
1566497791599015237,1.9e-05,9.8e-05,0.0,0.0,0.0,0.0
1566497791602832838,2.4e-05,0.0001,0.0,0.0,0.0,0.0
1566497791606950003,2.4e-05,9.6e-05,0.0,0.0,0.0,0.0
1566497791610917256,2.4e-05,9.9e-05,0.0,0.0,0.0,0.0
1566497791615006690,2.4e-05,9.4e-05,0.0,0.0,0.0,0.0
1566497791618895524,2.3e-05,9.7e-05,0.0,0.0,0.0,0.0
1566497791625779293,2.4e-05,9.6e-05,0.0,0.0,0.0,0.0
1566497791626892769,1.7e-05,9.8e-05,0.0,0.0,0.0,0.0
1566497791630993589,1.9e-05,9.9e-05,0.0,0.0,0.0,0.0
