%time,field.Fx,field.Fy,field.Fz,field.Tx,field.Ty,field.Tz
1565979491420912960,-0.000213040019929,-6.19993045247e-05,0.000259220461623,-0.000151882806147,-0.00141550191867,-0.00148566708479
1565979491441430799,-3.60882611811e-06,0.00016900854747,0.000143437780497,0.00070643130363,-0.00194735144522,-0.00176058929001
1565979491461080649,-6.51202333175e-05,3.36001862387e-05,-7.01620401192e-05,2.7827227052e-05,-0.00206811951848,-0.00251630764299
1565979491481426320,-0.000297440316466,-6.29703223451e-05,0.000899649749867,-0.00296972246495,-0.00252647530584,0.000428536217382
1565979491500766567,-0.000124949715265,0.000117070371376,-9.78147128013e-06,0.000635137639471,-0.00367689266751,-0.00161680970778
1565979491520838382,3.23739805723e-05,-7.93754134724e-05,5.19278970338e-05,-0.000906427005549,-0.0029522135092,-0.000895136649378
1565979491540619082,-0.000155002629127,-3.85581531744e-05,0.000346586957782,-0.000854839715056,-0.00330823910529,-0.00161724296043
1565979491561524496,0.000143463851639,-0.000145263303647,2.42913669721e-05,-0.00152358126664,-0.00309343130182,-0.00168813463486
1565979491580893603,-9.37780522671e-05,-2.07035593096e-05,2.17979667494e-06,-0.000627785972902,-0.00359071563453,-0.00160595013501
1565979491601002614,-0.00029881913556,-0.00012126044637,0.000270422234024,-0.00125670495697,-0.0026627383148,-0.0010853813307
1565979491620599268,-0.000150628061172,8.89246538912e-05,-0.000106293882104,-0.000191035797349,-0.00495319299563,-0.00283199994903
1565979491641639051,5.79147592615e-05,0.000298769062482,0.000373182114885,0.00193114131448,-0.00320632125209,-0.00180113794367
1565979491661340042,-0.000130729359855,-0.000102196582125,0.000330679096052,-0.00126791690799,-0.00291577346396,-0.00114745807182
1565979491685185608,-0.000292464438906,-4.81305929256e-05,0.000319202344937,0.000461950933914,-0.00394542527161,-0.00129670193604
1565979491700958396,-8.33180054276e-05,2.90364584867e-05,0.000193123602384,-0.00230805469112,-0.00208903505662,-0.00291751114431
1565979491721533787,-6.04329436659e-05,0.000115446136525,7.54858047103e-05,0.000523523021177,-0.00481256660893,-0.00228781109309
1565979491741674113,-0.000246918446891,-3.09591346683e-06,8.6633488659e-05,-0.000143938620504,-0.00371634634011,-0.00219556189219
1565979491761518277,-0.000104654630553,-4.13985548313e-05,-9.26388834268e-06,0.00145675715363,-0.00389273996841,-0.00315282375062
1565979491781791198,1.45350471928e-05,-8.49483967106e-05,0.000737520064384,-0.00184821528289,-0.00220781479232,-0.000201830862224
1565979491801000172,-3.86411710201e-05,0.000114775873035,6.17579650471e-05,-0.000709523193004,-0.0048161408916,-0.00232033959254
1565979491820902291,-0.000410245135454,-6.07775644584e-05,0.000604949814647,-0.000652072907402,-0.00156504482953,-0.000448412242601
1565979491840622443,-0.000278274826025,8.04443918009e-05,0.000361792660258,0.000489773263329,-0.00207042470524,-0.00149518213519
1565979491861661312,2.76634103206e-07,9.22458632736e-05,0.000416066739895,-0.000218473238881,-0.00331056648975,-0.00162061420994
1565979491880940718,-1.6076365831e-05,9.90773887663e-05,0.000397016488643,5.67847376228e-05,-0.00491311414504,-0.000798384898764
1565979491901248966,-8.18296291635e-05,-0.000109787815995,0.000112191808499,-0.00128396665975,-0.00273182079739,-0.00140031212318
1565979491920720661,0.000122011652238,4.73564397562e-05,0.000622667634801,-0.000151269130887,-0.00415905054805,0.000637056921211
1565979491940932129,-0.000169770821998,0.000117031364329,0.000648516533727,0.000620354501713,-0.00381406575671,-0.00131858598956
1565979491961370007,-0.000136381987299,-1.92975863839e-05,-0.000276164754047,-0.000963593799547,-0.00454154375593,-0.00320690819681
1565979491980698703,3.30074506491e-05,4.9351182923e-05,0.000437714981379,-9.20459821053e-05,-0.00344571232851,-0.00133532210518
1565979492001365327,-0.000121110714702,9.29423962554e-05,4.11260566556e-05,-0.000695502154896,-0.00353240765336,-0.00223339700349
1565979492020904498,-0.000271586920723,4.31995582081e-05,0.00019286628616,-0.000204102902241,-0.00304590500078,-0.00114468144985
1565979492040811392,-4.02965056891e-05,-0.000141617983174,0.000602641427726,-0.0021458645929,-0.00149273806895,-0.000165969160982
1565979492060931994,-0.000263384102964,0.000106272821705,0.000404347981383,-0.000734546327885,-0.00295187602102,-0.000775230983751
1565979492080593177,-0.000162624331128,-4.58009213656e-05,0.000142041435419,-0.00148783274285,-0.00333514100224,-0.00114349510336
1565979492101026738,-7.9001071259e-05,0.000303604981613,0.000411742866345,-0.000423027682107,-0.00449005903531,-0.00156553296864
1565979492121504182,-0.000218322324065,-4.33707572939e-05,0.000147027058257,-0.000248854994626,-0.00337421928953,-0.00184277152531
1565979492141494547,-0.000176204199051,-9.08326415961e-05,0.000654336806767,0.00136996998356,-0.00395742937011,-0.000241597876277
1565979492161357736,-2.18762289976e-05,-0.000166497678036,-0.000108799455758,-0.00148803891929,-0.0036006030896,-0.00249633799408
1565979492181280476,0.000196878381386,-1.91709190406e-05,0.000106133293941,-0.00230499134313,-0.00473985206636,-0.0017774371838
1565979492201735565,-7.74556892546e-05,6.70459372361e-05,0.000218077975406,0.00111324059684,-0.00424707815739,-0.00170045008493
1565979492220648897,-0.000227163827791,-0.000132769646908,-0.000237325557137,-0.00049423504132,-0.00476326602435,-0.00223781036224
1565979492240608649,0.000166897771877,-0.000170390773335,0.000622666443691,-0.00357277125193,-0.00366106383736,-0.000654420973344
1565979492261538429,-7.13416559895e-05,0.000208562744304,6.58744300544e-05,-0.000474606952058,-0.0036753687897,-0.00244375285411
1565979492280838874,-0.000180388395816,-0.000184644071145,8.36918854566e-06,-0.00222127044683,-0.00391255652403,-0.00225106931496
1565979492301143963,4.88099697088e-05,-0.0001524454975,-0.000128533672588,-0.000852927762745,-0.00486363067971,-0.0023060407294
1565979492321649769,-1.00628227631e-05,-9.00092998801e-05,0.000172414511181,9.16916796199e-06,-0.00423076778592,-0.00130415859189
1565979492340588525,-0.000304972544266,-9.60847807494e-05,0.000838413867388,-6.45860300081e-05,-0.00208429254459,-0.000874967384858
1565979492361615611,-0.000155882022154,0.00015930761629,-0.000172974408948,-0.000225024136758,-0.00509806061756,-0.00275002987583
1565979492380821921,-7.90047165683e-05,4.11755005051e-05,0.000164081489318,-0.000488458201692,-0.0033547916918,-0.00125185941926
1565979492401826648,-0.000361447409646,0.000200629334246,0.000694049984748,0.000727890581341,-0.0020704653359,-0.000760431097729
1565979492420626465,-0.000343972923791,-3.37316535368e-05,0.000240992546005,-0.000690009477508,-0.00270460234477,-0.00118358690354
1565979492441227619,0.000123166339345,1.64454021089e-05,0.000263671562697,0.000556503971933,-0.00369131188625,-0.00144724425586
1565979492460613219,-6.84209968329e-05,-0.000120611775026,0.00012679824781,-0.000768996093899,-0.00435398850023,-0.00163372567001
1565979492481470178,-0.00024557042958,-7.38877475972e-07,0.00052166215302,-0.000840248920144,-0.00476799941417,-0.00114806860255
1565979492501248970,4.38859144525e-05,0.000169088578941,0.000134698877589,-0.00115789432873,-0.00465689034694,-0.00277462828619
1565979492520814373,-9.04356600067e-05,2.04381425662e-05,-0.00040234180457,-0.00229984809293,-0.00383816277419,-0.00224690673726
1565979492541533919,-8.19089415401e-05,-0.00027724250012,0.000430221881314,-0.00130271333811,-0.00371396581419,-0.00149054922437
1565979492561278976,-0.000180096056982,-0.000175445959537,8.86404241718e-05,-0.000684482086443,-0.00423521782868,-0.00266635655253
1565979492581592405,-3.44918201195e-05,-0.000123101336147,0.000158174569641,-0.00142022308279,-0.00357124336829,-0.00131662850421
1565979492600828788,-0.00010384793337,0.000221225016743,0.000304177750487,-0.00123749755657,-0.00275406205836,-0.00100703605013
1565979492621549225,-0.000123713040096,0.000122859063471,0.000101337682003,-0.000895397176294,-0.00459208404794,-0.00230349594224
1565979492641437311,2.34292268316e-05,-8.19444193741e-05,0.000412132601944,-0.00149382804692,-0.00338686467464,-0.00218360726984
1565979492661577232,-6.36503200741e-05,-0.000185781975661,-0.000202961246915,-0.000356300989821,-0.00448830333943,-0.00325538853347
1565979492681343475,-0.000108408877246,-6.9604415145e-05,0.000251729048847,-0.000104699236927,-0.00428462440753,-0.00116518125229
1565979492700701265,8.1870857093e-05,0.000133163965265,0.000153006660574,-0.000627295057072,-0.00479780206134,-0.00296678668493
1565979492721589021,-5.98278848902e-05,2.37849106765e-05,0.000302618244148,-0.00153665688263,-0.00342702372847,-0.00113026364822
1565979492741557360,-0.000180546486164,-7.09675903445e-06,0.00022886563516,0.000102732342594,-0.00503719014147,-0.00168469625813
1565979492761106180,-8.60667945534e-05,-0.000143941080165,0.00011434452953,-0.000232761742844,-0.00460788513246,-0.000905488211267
1565979492781529977,3.15753044349e-05,0.000192791598588,0.000590575611098,0.000143207300345,-0.00347513801449,-0.000358116545406
1565979492800711432,-0.000217475037684,-4.13395329806e-05,0.000345688988046,-0.00139488484886,-0.00355852702797,-0.00194224332951
1565979492821162516,-0.000117568181712,-0.000128931361885,-2.52214265158e-05,0.000284369564844,-0.0045640704487,-0.00186965286327
1565979492841490490,0.000146458271898,9.6157953246e-05,0.000139427188471,0.000387556656819,-0.0050024832649,-0.00311476063975
1565979492860816207,-3.12312758075e-05,-2.81928966296e-06,-0.000141357666351,-0.00152591745773,-0.00385624985987,-0.00402433891192
1565979492881222093,-0.000168299162358,0.000205807857501,0.000316076533928,-0.000355000547579,-0.0041469418655,-0.000717987774252
1565979492900754800,-0.000115909481973,-4.17690022843e-05,0.000468469340272,5.98838472296e-05,-0.00346581041332,-0.000613767356997
1565979492921064287,-5.96135446523e-05,-0.000163456667942,9.36579383877e-06,0.000588398104594,-0.00549290391972,-0.00173441865081
1565979492940771785,-5.76564965092e-05,-0.000109025401618,0.00052558783074,-0.00121575796238,-0.00386382633365,-0.00073233409295
1565979492961013127,-0.000236834748161,0.000267195093617,0.000584774730163,-0.000151728902929,-0.00168160433389,-0.00115067441297
1565979492981302717,-0.000105082944761,-0.000234883266516,0.000138685800102,-0.00233320153211,-0.00514632756117,-0.0011970214275
1565979493000856620,-0.00014286746934,-0.000103257539004,0.000361901422583,-0.00132582430216,-0.0049357800016,-0.00209765968132
1565979493021538459,2.19649923658e-05,-0.000135513198881,0.00023093353439,-0.00193266552337,-0.00388150229745,-0.00125723341415
1565979493041304272,2.89967908231e-05,0.000206405632489,0.000512281713456,-0.00130895389136,-0.00271031369494,-0.00101264077415
1565979493060632907,-0.000240609661376,-0.000204630618932,0.000556460354615,-0.000297007068706,-0.00320298744324,2.02736344211e-05
1565979493080614662,-0.000479724148179,-6.51576459845e-05,0.000110739640862,0.000576099149705,-0.00444422162806,-0.00238119444274
1565979493100720902,-0.000147131073857,6.84573458405e-05,0.000689544447186,-0.00143766404179,-0.00102182957816,-0.00126924707269
1565979493120659674,4.10856736169e-05,6.64462151909e-05,-0.000472075643021,-0.00298979802222,-0.00490628326846,-0.00379167331465
1565979493140603508,-0.000274236077977,4.7957940852e-05,0.000722917730367,0.000848339705627,-0.00257372519746,-0.000787108764778
1565979493160697272,-0.000364281560898,-0.00014583770944,0.000647920175222,0.000849415599228,-0.00302796110692,-0.000762348129759
1565979493180977196,-3.69447732802e-05,-6.43035845802e-05,0.00044957734117,-0.00131218303969,-0.00317231436798,0.0002831422064
1565979493201798912,-0.000126301896562,2.79247037431e-05,0.00034482775585,-0.00143009960757,-0.00336752820791,-0.00163791496785
1565979493221629821,1.79197282774e-05,-0.000198521267244,-0.000252116851319,-0.00223441013408,-0.00461363928548,-0.00370620691666
1565979493241359437,4.59815126526e-05,4.08624663328e-05,4.10061478063e-06,-0.000336984560896,-0.00488495879562,-0.00202077146122
1565979493260641073,7.91061036657e-05,-0.000152740914273,8.10438083132e-05,-0.00146307382836,-0.00407627291657,-0.00273814982578
1565979493280606980,-0.000239817671371,3.281211237e-05,0.000259940537325,-0.00126111211939,-0.00390604513926,-0.00119497430677
1565979493301017373,-1.99064932697e-05,7.84822201748e-05,-1.57704662971e-05,-0.000900442344422,-0.00379001424393,-0.00231604488732
1565979493320573539,0.000130998780891,-2.30524314704e-05,0.00029626618105,-0.00110319297575,-0.00409034193421,-0.0024209478957
1565979493340596902,-0.000258832851271,0.000227265837933,0.000665046774182,0.00106053387898,-0.0033995056014,-0.000347131396872
1565979493360951519,-0.000194654788228,5.76238768213e-05,0.000224504792538,-0.000807460968602,-0.00397025130412,-0.00163826334224
1565979493380804102,0.000147647432327,-9.58793858707e-05,-0.00014474603377,-0.00209893492474,-0.0049682340267,-0.00199699443095
1565979493401135450,-0.000126612450339,-7.56783887694e-05,0.000146700374952,-0.000552779158519,-0.0047965298952,-0.00163311486311
1565979493424007213,-0.000105565564131,-0.000129811302249,0.000661025314604,-0.000509574627934,-0.00507911391305,-0.000360651700393
1565979493440615793,-7.32060937484e-05,0.000136046857955,-6.28060065288e-06,0.000449145434842,-0.00431735239901,-0.00250989877891
