%time,field0,field1,field2,field3,field4,field5
1566246436682197700,1.9e-05,-4.1e-05,0.0,0.0,0.0,0.0
1566246436685937068,1.6e-05,-4.2e-05,0.0,0.0,0.0,0.0
1566246436689852251,1.8e-05,-4.3e-05,0.0,0.0,0.0,0.0
1566246436693757142,2.2e-05,-3.9e-05,0.0,0.0,0.0,0.0
1566246436697797998,2e-05,-4e-05,0.0,0.0,0.0,0.0
1566246436701917525,2.3e-05,-3.9e-05,0.0,0.0,0.0,0.0
1566246436706181104,2.2e-05,-4e-05,0.0,0.0,0.0,0.0
1566246436709977291,1.7e-05,-3.6e-05,0.0,0.0,0.0,0.0
1566246436713933292,2.2e-05,-3.8e-05,0.0,0.0,0.0,0.0
1566246436717901676,2e-05,-4.2e-05,0.0,0.0,0.0,0.0
1566246436722568403,1.8e-05,-4.1e-05,0.0,0.0,0.0,0.0
1566246436726289595,1.9e-05,-3.9e-05,0.0,0.0,0.0,0.0
1566246436730551814,1.9e-05,-3.9e-05,0.0,0.0,0.0,0.0
1566246436734183866,2.3e-05,-4e-05,0.0,0.0,0.0,0.0
1566246436739715502,2.4e-05,-4.2e-05,0.0,0.0,0.0,0.0
1566246436742750901,2.3e-05,-4.2e-05,0.0,0.0,0.0,0.0
1566246436745962414,2.3e-05,-4.2e-05,0.0,0.0,0.0,0.0
1566246436750049829,2.3e-05,-4e-05,0.0,0.0,0.0,0.0
1566246436754204368,2.6e-05,-4.3e-05,0.0,0.0,0.0,0.0
1566246436758317049,2.1e-05,-4.5e-05,0.0,0.0,0.0,0.0
1566246436762094767,2.3e-05,-4.3e-05,0.0,0.0,0.0,0.0
1566246436767012314,2.3e-05,-3.8e-05,0.0,0.0,0.0,0.0
1566246436770140140,2.7e-05,-4.2e-05,0.0,0.0,0.0,0.0
1566246436774007379,2e-05,-4e-05,0.0,0.0,0.0,0.0
1566246436778119323,2.5e-05,-4e-05,0.0,0.0,0.0,0.0
1566246436781976699,2e-05,-3.8e-05,0.0,0.0,0.0,0.0
1566246436786178488,2.5e-05,-3.7e-05,0.0,0.0,0.0,0.0
1566246436789938612,2.2e-05,-3.8e-05,0.0,0.0,0.0,0.0
1566246436794224982,2.2e-05,-4.1e-05,0.0,0.0,0.0,0.0
1566246436799367983,2e-05,-4.1e-05,0.0,0.0,0.0,0.0
1566246436802037219,2.3e-05,-4.4e-05,0.0,0.0,0.0,0.0
1566246436806151193,1.9e-05,-4e-05,0.0,0.0,0.0,0.0
1566246436809995934,2.2e-05,-3.8e-05,0.0,0.0,0.0,0.0
1566246436813989106,2.1e-05,-3.8e-05,0.0,0.0,0.0,0.0
1566246436818383351,2.3e-05,-4e-05,0.0,0.0,0.0,0.0
1566246436822299919,2.5e-05,-4.1e-05,0.0,0.0,0.0,0.0
1566246436828300206,2.2e-05,-4.1e-05,0.0,0.0,0.0,0.0
1566246436831161451,1.5e-05,-4.2e-05,0.0,0.0,0.0,0.0
1566246436834117217,1.6e-05,-3.9e-05,0.0,0.0,0.0,0.0
1566246436838014497,1.8e-05,-4.1e-05,0.0,0.0,0.0,0.0
1566246436841881360,1.9e-05,-4.2e-05,0.0,0.0,0.0,0.0
1566246436845884459,2.2e-05,-4.1e-05,0.0,0.0,0.0,0.0
1566246436854711559,2.3e-05,-3.9e-05,0.0,0.0,0.0,0.0
1566246436860439148,2.1e-05,-3.9e-05,0.0,0.0,0.0,0.0
1566246436864719184,2.3e-05,-3.9e-05,0.0,0.0,0.0,0.0
1566246436867924780,2e-05,-4e-05,0.0,0.0,0.0,0.0
1566246436871911527,2.3e-05,-3.9e-05,0.0,0.0,0.0,0.0
1566246436875521365,2.3e-05,-4e-05,0.0,0.0,0.0,0.0
1566246436879601553,2e-05,-3.8e-05,0.0,0.0,0.0,0.0
1566246436886567507,1.7e-05,-4.1e-05,0.0,0.0,0.0,0.0
1566246436889224262,1.9e-05,-4.1e-05,0.0,0.0,0.0,0.0
1566246436891805235,1.8e-05,-3.8e-05,0.0,0.0,0.0,0.0
1566246436895444156,1.9e-05,-3.9e-05,0.0,0.0,0.0,0.0
1566246436899593343,2.3e-05,-3.9e-05,0.0,0.0,0.0,0.0
1566246436903930708,1.9e-05,-4.2e-05,0.0,0.0,0.0,0.0
1566246436907632319,2.1e-05,-3.9e-05,0.0,0.0,0.0,0.0
1566246436912010631,2.1e-05,-4e-05,0.0,0.0,0.0,0.0
1566246436915927581,2e-05,-4.2e-05,0.0,0.0,0.0,0.0
1566246436919922732,2.5e-05,-3.9e-05,0.0,0.0,0.0,0.0
1566246436923961558,1.9e-05,-4.1e-05,0.0,0.0,0.0,0.0
1566246436932686162,1.8e-05,-3.8e-05,0.0,0.0,0.0,0.0
1566246436935407974,2.2e-05,-4e-05,0.0,0.0,0.0,0.0
1566246436938393916,2.2e-05,-4e-05,0.0,0.0,0.0,0.0
1566246436940952911,2.3e-05,-4.4e-05,0.0,0.0,0.0,0.0
1566246436943713465,2.1e-05,-3.9e-05,0.0,0.0,0.0,0.0
1566246436947910043,1.9e-05,-4e-05,0.0,0.0,0.0,0.0
1566246436951700025,1.9e-05,-3.9e-05,0.0,0.0,0.0,0.0
1566246436955638181,1.6e-05,-4.2e-05,0.0,0.0,0.0,0.0
1566246436959699971,1.9e-05,-4.2e-05,0.0,0.0,0.0,0.0
1566246436963597821,2.2e-05,-4.1e-05,0.0,0.0,0.0,0.0
1566246436968586060,2.2e-05,-4e-05,0.0,0.0,0.0,0.0
1566246436971640888,2.2e-05,-3.8e-05,0.0,0.0,0.0,0.0
1566246436975755534,2.2e-05,-3.9e-05,0.0,0.0,0.0,0.0
1566246436979515785,2e-05,-4e-05,0.0,0.0,0.0,0.0
1566246436983896037,2e-05,-3.9e-05,0.0,0.0,0.0,0.0
1566246436988468697,2e-05,-4.1e-05,0.0,0.0,0.0,0.0
1566246436992649017,2.2e-05,-4e-05,0.0,0.0,0.0,0.0
1566246436995621634,1.8e-05,-3.9e-05,0.0,0.0,0.0,0.0
